Date,Name,Year,Letterboxd URI,Rating
2021-08-08,Twilight,2008,https://boxd.it/1Zui,4.5
2021-08-08,Jane Eyre,2011,https://boxd.it/15rs,3
2021-08-08,Midsommar,2019,https://boxd.it/jhxe,4
2021-08-08,Bo Burnham: Inside,2021,https://boxd.it/v2uy,3.5
2021-08-08,"I, Tonya",2017,https://boxd.it/dzR0,4
2021-08-08,Lady Bird,2017,https://boxd.it/dGNE,3
2021-08-08,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO,3.5
2021-08-08,Scott Pilgrim vs. the World,2010,https://boxd.it/1Aq6,4
2021-08-08,Goat Story,2008,https://boxd.it/1Cio,1
2021-08-08,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK,4.5
2021-08-08,Mary Queen of Scots,2018,https://boxd.it/gkaG,3
2021-08-08,Portrait of a Lady on Fire,2019,https://boxd.it/jkPq,4.5
2021-08-10,The Twilight Saga: New Moon,2009,https://boxd.it/1Hj2,4
2021-08-13,La La Land,2016,https://boxd.it/a5fa,4.5
2021-08-16,The Twilight Saga: Breaking Dawn – Part 2,2012,https://boxd.it/DdC,3.5
2021-08-22,Howl's Moving Castle,2004,https://boxd.it/23De,4
2021-08-24,The Godfather Part II,1974,https://boxd.it/2aNq,4
2021-08-24,The Godfather,1972,https://boxd.it/2aNK,4.5
2021-08-24,Requiem for a Dream,2000,https://boxd.it/29VI,4
2021-08-24,The Pianist,2002,https://boxd.it/2aqc,4
2021-08-25,Before Sunset,2004,https://boxd.it/2bcg,4
2021-08-25,Vivarium,2019,https://boxd.it/gmVE,4
2021-08-25,Perfect Blue,1997,https://boxd.it/1W7A,4
2021-08-26,Welcome to the Dollhouse,1995,https://boxd.it/1TPO,3
2021-08-27,The Handmaiden,2016,https://boxd.it/948A,5
2021-08-30,Chungking Express,1994,https://boxd.it/1UDa,4
2021-09-03,Get Out,2017,https://boxd.it/eOCm,4
2021-09-04,The Suicide Squad,2021,https://boxd.it/fw6O,3.5
2021-09-06,Brokeback Mountain,2005,https://boxd.it/2b2q,4.5
2021-09-07,Her,2013,https://boxd.it/4O24,3.5
2021-09-08,Farewell My Concubine,1993,https://boxd.it/1UTM,4.5
2021-09-13,The Lighthouse,2019,https://boxd.it/icFU,4
2021-09-15,Amélie,2001,https://boxd.it/2aUc,3.5
2021-09-23,Thirteen,2003,https://boxd.it/1UPK,4
2021-09-26,Squid Game,2021,https://boxd.it/x1OG,4
2021-09-30,The Phantom of the Opera,2004,https://boxd.it/1XHu,4
2021-09-30,Parasite,2019,https://boxd.it/hTha,4.5
2021-10-03,Rosemary's Baby,1968,https://boxd.it/29zM,3.5
2021-10-03,Fight Club,1999,https://boxd.it/2a9q,4
2021-10-04,Frances Ha,2012,https://boxd.it/41Xg,4
2021-10-04,Hereditary,2018,https://boxd.it/hNVe,4
2021-10-07,Black Swan,2010,https://boxd.it/Sw0,4.5
2021-10-09,Blood Quantum,2019,https://boxd.it/lO7s,4
2021-10-09,The Devil Wears Prada,2006,https://boxd.it/2awE,4
2021-10-16,Corpse Bride,2005,https://boxd.it/24WQ,3.5
2021-10-17,The Wolf of Wall Street,2013,https://boxd.it/3C1m,4
2021-10-25,mother!,2017,https://boxd.it/dgRU,4
2021-10-25,Marriage Story,2019,https://boxd.it/hJAw,3.5
2021-10-28,Fallen Angels,1995,https://boxd.it/1UkW,4
2021-10-28,Atonement,2007,https://boxd.it/24ui,3.5
2021-10-30,The Shape of Water,2017,https://boxd.it/dZ5m,3.5
2021-10-30,Whiplash,2014,https://boxd.it/7bQA,4.5
2021-10-31,Train to Busan,2016,https://boxd.it/dSQU,4
2021-11-06,FernGully: The Last Rainforest,1992,https://boxd.it/1Qzo,3
2021-11-06,Juno,2007,https://boxd.it/210a,3.5
2021-11-06,Promising Young Woman,2020,https://boxd.it/loRE,3.5
2021-11-06,Oldboy,2003,https://boxd.it/29R2,4
2021-11-10,Tinker Bell and the Lost Treasure,2009,https://boxd.it/1vKg,3
2021-11-10,Tinker Bell,2008,https://boxd.it/1QEy,2.5
2021-11-14,Palm Springs,2020,https://boxd.it/lCXQ,4
2021-11-17,Secret of the Wings,2012,https://boxd.it/2xMU,3
2021-11-17,The Book of Life,2014,https://boxd.it/6JKY,3.5
2021-11-20,Eighth Grade,2018,https://boxd.it/hDMG,3.5
2021-11-20,Carol,2015,https://boxd.it/7DPK,4
2021-11-24,Tinker Bell and the Pirate Fairy,2014,https://boxd.it/5nyY,2.5
2021-11-26,The Lobster,2015,https://boxd.it/7tnw,4
2021-11-27,Maya and the Three,2021,https://boxd.it/xrJW,3.5
2021-11-27,Princess Mononoke,1997,https://boxd.it/2b4w,5
2021-11-27,Spirited Away,2001,https://boxd.it/2b4m,4.5
2021-12-12,Drive,2011,https://boxd.it/IG,3
2021-12-12,Room,2015,https://boxd.it/7T0y,4
2021-12-12,Blue Valentine,2010,https://boxd.it/MxG,3.5
2021-12-12,1917,2019,https://boxd.it/jj4y,4
2021-12-16,"Synecdoche, New York",2008,https://boxd.it/23zw,4.5
2021-12-18,Maurice,1987,https://boxd.it/1tZy,4
2021-12-19,In the Mood for Love,2000,https://boxd.it/29tE,4
2021-12-19,The Virgin Suicides,1999,https://boxd.it/28JG,4
2021-12-20,The Bitter Tears of Petra von Kant,1972,https://boxd.it/1WzE,4.5
2021-12-20,La Ciénaga,2001,https://boxd.it/kpk,4.5
2021-12-21,Rise of the Guardians,2012,https://boxd.it/2PXw,3
2021-12-21,Belle de Jour,1967,https://boxd.it/29Uq,4
2021-12-22,Robots,2005,https://boxd.it/1Xve,3
2021-12-22,Belladonna of Sadness,1973,https://boxd.it/2q,4.5
2021-12-22,Persona,1966,https://boxd.it/29B4,4
2021-12-22,Happy Together,1997,https://boxd.it/1Ha0,4.5
2021-12-25,Encanto,2021,https://boxd.it/kPRu,3.5
2021-12-26,Wild Mountain Thyme,2020,https://boxd.it/nhok,1.5
